source,k,n_rows,n_participants,GA_min,GA_max,Avg_SWS_min,Avg_SWS_median,Avg_SWS_max
Carlson,1,126,29,8.43,38.71,0.9966581632653061,1.684151457272213,6.663042763157895
QUS,1,936,452,17.714285714285705,95.85714285714285,1.05461,2.219795,5.91397
Carlson,2,126,29,8.43,38.71,0.9966581632653061,1.684151457272213,6.663042763157895
QUS,2,938,453,17.714285714285705,95.85714285714285,1.03415,2.2227875,5.703329
Carlson,3,126,29,8.43,38.71,0.9966581632653061,1.684151457272213,6.663042763157895
QUS,3,938,453,17.714285714285705,95.85714285714285,1.06412,2.2347366666666666,5.703329
Carlson,4,126,29,8.43,38.71,0.9966581632653061,1.684151457272213,6.663042763157895
QUS,4,938,453,17.714285714285705,95.85714285714285,1.0870925,2.229335,5.703329
Carlson,5,126,29,8.43,38.71,0.9966581632653061,1.684151457272213,6.663042763157895
QUS,5,938,453,17.714285714285705,95.85714285714285,1.084864,2.215715,5.703329
Carlson,6,126,29,8.43,38.71,0.9966581632653061,1.684151457272213,6.663042763157895
QUS,6,938,453,17.714285714285705,95.85714285714285,1.0735183333333334,2.2218766666666667,5.703329
Carlson,7,126,29,8.43,38.71,0.9966581632653061,1.684151457272213,6.663042763157895
QUS,7,938,453,17.714285714285705,95.85714285714285,1.080121428571429,2.216137142857143,5.703329
Carlson,8,126,29,8.43,38.71,0.9966581632653061,1.684151457272213,6.663042763157895
QUS,8,938,453,17.714285714285705,95.85714285714285,1.07531,2.2188806249999997,5.703329
Carlson,9,126,29,8.43,38.71,0.9966581632653061,1.684151457272213,6.663042763157895
QUS,9,938,453,17.714285714285705,95.85714285714285,1.0860822222222222,2.224833888888889,5.703329
Carlson,10,126,29,8.43,38.71,0.9966581632653061,1.684151457272213,6.663042763157895
QUS,10,938,453,17.714285714285705,95.85714285714285,1.092827,2.2269365,5.703329
